particle_count,timesteps,threads,sample,time
100,10,1,1,0.001
100,10,1,2,0.001
100,10,1,3,0.001
100,10,1,4,0.001
100,10,1,5,0.001
100,10,1,6,0.001
100,10,1,7,0.001
100,10,1,8,0.001
100,10,1,9,0.001
100,10,1,10,0.001
100,10,1,11,0.001
100,10,1,12,0.001
100,10,1,13,0.001
100,10,1,14,0.001
100,10,1,15,0.001
100,10,1,16,0.001
100,10,1,17,0.001
100,10,1,18,0.001
100,10,1,19,0.001
100,10,1,20,0.001
100,10,1,21,0.001
100,10,1,22,0.001
100,10,1,23,0.001
100,10,1,24,0.001
100,10,1,25,0.001
100,10,1,26,0.001
100,10,1,27,0.001
100,10,1,28,0.001
100,10,1,29,0.002
100,10,1,30,0.001
100,10,2,1,0.001
100,10,2,2,0.001
100,10,2,3,0.001
100,10,2,4,0.001
100,10,2,5,0.001
100,10,2,6,0.001
100,10,2,7,0.001
100,10,2,8,0.001
100,10,2,9,0.001
100,10,2,10,0.001
100,10,2,11,0.001
100,10,2,12,0.001
100,10,2,13,0.001
100,10,2,14,0.001
100,10,2,15,0.001
100,10,2,16,0.001
100,10,2,17,0.001
100,10,2,18,0.001
100,10,2,19,0.001
100,10,2,20,0.001
100,10,2,21,0.001
100,10,2,22,0.001
100,10,2,23,0.001
100,10,2,24,0.001
100,10,2,25,0.001
100,10,2,26,0.001
100,10,2,27,0.001
100,10,2,28,0.001
100,10,2,29,0.001
100,10,2,30,0.001
100,10,4,1,0.001
100,10,4,2,0.001
100,10,4,3,0.001
100,10,4,4,0.002
100,10,4,5,0.001
100,10,4,6,0.001
100,10,4,7,0.001
100,10,4,8,0.001
100,10,4,9,0.001
100,10,4,10,0.001
100,10,4,11,0.001
100,10,4,12,0.001
100,10,4,13,0.001
100,10,4,14,0.001
100,10,4,15,0.001
100,10,4,16,0.001
100,10,4,17,0.001
100,10,4,18,0.001
100,10,4,19,0.001
100,10,4,20,0.001
100,10,4,21,0.001
100,10,4,22,0.001
100,10,4,23,0.001
100,10,4,24,0.001
100,10,4,25,0.001
100,10,4,26,0.001
100,10,4,27,0.001
100,10,4,28,0.001
100,10,4,29,0.001
100,10,4,30,0.001
100,10,8,1,0.001
100,10,8,2,0.001
100,10,8,3,0.001
100,10,8,4,0.001
100,10,8,5,0.001
100,10,8,6,0.001
100,10,8,7,0.001
100,10,8,8,0.001
100,10,8,9,0.001
100,10,8,10,0.001
100,10,8,11,0.001
100,10,8,12,0.001
100,10,8,13,0.001
100,10,8,14,0.001
100,10,8,15,0.001
100,10,8,16,0.001
100,10,8,17,0.001
100,10,8,18,0.001
100,10,8,19,0.001
100,10,8,20,0.001
100,10,8,21,0.001
100,10,8,22,0.001
100,10,8,23,0.001
100,10,8,24,0.001
100,10,8,25,0.001
100,10,8,26,0.001
100,10,8,27,0.001
100,10,8,28,0.001
100,10,8,29,0.001
100,10,8,30,0.001
100,10,12,1,0.002
100,10,12,2,0.002
100,10,12,3,0.002
100,10,12,4,0.002
100,10,12,5,0.002
100,10,12,6,0.002
100,10,12,7,0.002
100,10,12,8,0.002
100,10,12,9,0.002
100,10,12,10,0.003
100,10,12,11,0.002
100,10,12,12,0.002
100,10,12,13,0.002
100,10,12,14,0.002
100,10,12,15,0.002
100,10,12,16,0.002
100,10,12,17,0.002
100,10,12,18,0.002
100,10,12,19,0.002
100,10,12,20,0.002
100,10,12,21,0.002
100,10,12,22,0.002
100,10,12,23,0.002
100,10,12,24,0.002
100,10,12,25,0.002
100,10,12,26,0.001
100,10,12,27,0.002
100,10,12,28,0.002
100,10,12,29,0.002
100,10,12,30,0.002
100,50,1,1,0.003
100,50,1,2,0.003
100,50,1,3,0.003
100,50,1,4,0.003
100,50,1,5,0.003
100,50,1,6,0.003
100,50,1,7,0.003
100,50,1,8,0.003
100,50,1,9,0.004
100,50,1,10,0.003
100,50,1,11,0.003
100,50,1,12,0.003
100,50,1,13,0.003
100,50,1,14,0.003
100,50,1,15,0.003
100,50,1,16,0.003
100,50,1,17,0.003
100,50,1,18,0.003
100,50,1,19,0.003
100,50,1,20,0.003
100,50,1,21,0.003
100,50,1,22,0.003
100,50,1,23,0.003
100,50,1,24,0.003
100,50,1,25,0.003
100,50,1,26,0.003
100,50,1,27,0.003
100,50,1,28,0.003
100,50,1,29,0.003
100,50,1,30,0.003
100,50,2,1,0.002
100,50,2,2,0.002
100,50,2,3,0.002
100,50,2,4,0.002
100,50,2,5,0.002
100,50,2,6,0.002
100,50,2,7,0.002
100,50,2,8,0.002
100,50,2,9,0.002
100,50,2,10,0.002
100,50,2,11,0.002
100,50,2,12,0.002
100,50,2,13,0.002
100,50,2,14,0.002
100,50,2,15,0.002
100,50,2,16,0.002
100,50,2,17,0.002
100,50,2,18,0.002
100,50,2,19,0.002
100,50,2,20,0.002
100,50,2,21,0.002
100,50,2,22,0.002
100,50,2,23,0.002
100,50,2,24,0.002
100,50,2,25,0.002
100,50,2,26,0.002
100,50,2,27,0.002
100,50,2,28,0.002
100,50,2,29,0.002
100,50,2,30,0.002
100,50,4,1,0.002
100,50,4,2,0.002
100,50,4,3,0.002
100,50,4,4,0.002
100,50,4,5,0.002
100,50,4,6,0.002
100,50,4,7,0.002
100,50,4,8,0.002
100,50,4,9,0.002
100,50,4,10,0.002
100,50,4,11,0.002
100,50,4,12,0.002
100,50,4,13,0.002
100,50,4,14,0.002
100,50,4,15,0.002
100,50,4,16,0.002
100,50,4,17,0.002
100,50,4,18,0.002
100,50,4,19,0.002
100,50,4,20,0.002
100,50,4,21,0.002
100,50,4,22,0.002
100,50,4,23,0.002
100,50,4,24,0.002
100,50,4,25,0.002
100,50,4,26,0.002
100,50,4,27,0.002
100,50,4,28,0.002
100,50,4,29,0.002
100,50,4,30,0.002
100,50,8,1,0.002
100,50,8,2,0.002
100,50,8,3,0.002
100,50,8,4,0.002
100,50,8,5,0.002
100,50,8,6,0.002
100,50,8,7,0.002
100,50,8,8,0.002
100,50,8,9,0.002
100,50,8,10,0.002
100,50,8,11,0.002
100,50,8,12,0.002
100,50,8,13,0.002
100,50,8,14,0.002
100,50,8,15,0.002
100,50,8,16,0.002
100,50,8,17,0.002
100,50,8,18,0.002
100,50,8,19,0.002
100,50,8,20,0.002
100,50,8,21,0.002
100,50,8,22,0.002
100,50,8,23,0.002
100,50,8,24,0.002
100,50,8,25,0.002
100,50,8,26,0.002
100,50,8,27,0.002
100,50,8,28,0.002
100,50,8,29,0.002
100,50,8,30,0.002
100,50,12,1,0.012
100,50,12,2,0.002
100,50,12,3,0.002
100,50,12,4,0.003
100,50,12,5,0.010
100,50,12,6,0.003
100,50,12,7,0.002
100,50,12,8,0.003
100,50,12,9,0.024
100,50,12,10,0.009
100,50,12,11,0.008
100,50,12,12,0.009
100,50,12,13,0.005
100,50,12,14,0.003
100,50,12,15,0.002
100,50,12,16,0.005
100,50,12,17,0.006
100,50,12,18,0.002
100,50,12,19,0.002
100,50,12,20,0.003
100,50,12,21,0.003
100,50,12,22,0.002
100,50,12,23,0.002
100,50,12,24,0.002
100,50,12,25,0.002
100,50,12,26,0.003
100,50,12,27,0.003
100,50,12,28,0.002
100,50,12,29,0.002
100,50,12,30,0.003
1000,10,1,1,0.049
1000,10,1,2,0.050
1000,10,1,3,0.049
1000,10,1,4,0.049
1000,10,1,5,0.051
1000,10,1,6,0.048
1000,10,1,7,0.049
1000,10,1,8,0.051
1000,10,1,9,0.048
1000,10,1,10,0.048
1000,10,1,11,0.048
1000,10,1,12,0.048
1000,10,1,13,0.048
1000,10,1,14,0.050
1000,10,1,15,0.048
1000,10,1,16,0.050
1000,10,1,17,0.049
1000,10,1,18,0.048
1000,10,1,19,0.049
1000,10,1,20,0.048
1000,10,1,21,0.048
1000,10,1,22,0.048
1000,10,1,23,0.048
1000,10,1,24,0.050
1000,10,1,25,0.048
1000,10,1,26,0.048
1000,10,1,27,0.050
1000,10,1,28,0.049
1000,10,1,29,0.050
1000,10,1,30,0.048
1000,10,2,1,0.025
1000,10,2,2,0.025
1000,10,2,3,0.026
1000,10,2,4,0.026
1000,10,2,5,0.034
1000,10,2,6,0.032
1000,10,2,7,0.026
1000,10,2,8,0.029
1000,10,2,9,0.026
1000,10,2,10,0.025
1000,10,2,11,0.026
1000,10,2,12,0.025
1000,10,2,13,0.025
1000,10,2,14,0.025
1000,10,2,15,0.026
1000,10,2,16,0.027
1000,10,2,17,0.033
1000,10,2,18,0.026
1000,10,2,19,0.025
1000,10,2,20,0.025
1000,10,2,21,0.026
1000,10,2,22,0.026
1000,10,2,23,0.025
1000,10,2,24,0.025
1000,10,2,25,0.025
1000,10,2,26,0.026
1000,10,2,27,0.026
1000,10,2,28,0.026
1000,10,2,29,0.026
1000,10,2,30,0.025
1000,10,4,1,0.017
1000,10,4,2,0.013
1000,10,4,3,0.014
1000,10,4,4,0.018
1000,10,4,5,0.014
1000,10,4,6,0.014
1000,10,4,7,0.014
1000,10,4,8,0.014
1000,10,4,9,0.014
1000,10,4,10,0.014
1000,10,4,11,0.016
1000,10,4,12,0.014
1000,10,4,13,0.014
1000,10,4,14,0.014
1000,10,4,15,0.014
1000,10,4,16,0.017
1000,10,4,17,0.016
1000,10,4,18,0.014
1000,10,4,19,0.014
1000,10,4,20,0.014
1000,10,4,21,0.014
1000,10,4,22,0.014
1000,10,4,23,0.016
1000,10,4,24,0.014
1000,10,4,25,0.014
1000,10,4,26,0.017
1000,10,4,27,0.018
1000,10,4,28,0.020
1000,10,4,29,0.014
1000,10,4,30,0.014
1000,10,8,1,0.012
1000,10,8,2,0.012
1000,10,8,3,0.013
1000,10,8,4,0.012
1000,10,8,5,0.012
1000,10,8,6,0.012
1000,10,8,7,0.012
1000,10,8,8,0.013
1000,10,8,9,0.011
1000,10,8,10,0.013
1000,10,8,11,0.013
1000,10,8,12,0.012
1000,10,8,13,0.012
1000,10,8,14,0.013
1000,10,8,15,0.012
1000,10,8,16,0.014
1000,10,8,17,0.012
1000,10,8,18,0.012
1000,10,8,19,0.012
1000,10,8,20,0.012
1000,10,8,21,0.011
1000,10,8,22,0.013
1000,10,8,23,0.012
1000,10,8,24,0.012
1000,10,8,25,0.012
1000,10,8,26,0.012
1000,10,8,27,0.012
1000,10,8,28,0.012
1000,10,8,29,0.012
1000,10,8,30,0.013
1000,10,12,1,0.011
1000,10,12,2,0.010
1000,10,12,3,0.010
1000,10,12,4,0.011
1000,10,12,5,0.011
1000,10,12,6,0.011
1000,10,12,7,0.012
1000,10,12,8,0.011
1000,10,12,9,0.011
1000,10,12,10,0.011
1000,10,12,11,0.010
1000,10,12,12,0.012
1000,10,12,13,0.011
1000,10,12,14,0.010
1000,10,12,15,0.011
1000,10,12,16,0.010
1000,10,12,17,0.021
1000,10,12,18,0.011
1000,10,12,19,0.010
1000,10,12,20,0.013
1000,10,12,21,0.010
1000,10,12,22,0.010
1000,10,12,23,0.010
1000,10,12,24,0.010
1000,10,12,25,0.011
1000,10,12,26,0.021
1000,10,12,27,0.011
1000,10,12,28,0.013
1000,10,12,29,0.015
1000,10,12,30,0.012
1000,50,1,1,0.239
1000,50,1,2,0.239
1000,50,1,3,0.235
1000,50,1,4,0.235
1000,50,1,5,0.235
1000,50,1,6,0.235
1000,50,1,7,0.235
1000,50,1,8,0.235
1000,50,1,9,0.235
1000,50,1,10,0.236
1000,50,1,11,0.235
1000,50,1,12,0.238
1000,50,1,13,0.235
1000,50,1,14,0.235
1000,50,1,15,0.235
1000,50,1,16,0.235
1000,50,1,17,0.235
1000,50,1,18,0.236
1000,50,1,19,0.237
1000,50,1,20,0.238
1000,50,1,21,0.236
1000,50,1,22,0.236
1000,50,1,23,0.239
1000,50,1,24,0.237
1000,50,1,25,0.236
1000,50,1,26,0.238
1000,50,1,27,0.235
1000,50,1,28,0.243
1000,50,1,29,0.236
1000,50,1,30,0.235
1000,50,2,1,0.158
1000,50,2,2,0.121
1000,50,2,3,0.122
1000,50,2,4,0.139
1000,50,2,5,0.129
1000,50,2,6,0.121
1000,50,2,7,0.137
1000,50,2,8,0.153
1000,50,2,9,0.120
1000,50,2,10,0.143
1000,50,2,11,0.122
1000,50,2,12,0.122
1000,50,2,13,0.125
1000,50,2,14,0.122
1000,50,2,15,0.151
1000,50,2,16,0.120
1000,50,2,17,0.122
1000,50,2,18,0.128
1000,50,2,19,0.145
1000,50,2,20,0.166
1000,50,2,21,0.130
1000,50,2,22,0.120
1000,50,2,23,0.120
1000,50,2,24,0.120
1000,50,2,25,0.122
1000,50,2,26,0.121
1000,50,2,27,0.136
1000,50,2,28,0.122
1000,50,2,29,0.120
1000,50,2,30,0.166
1000,50,4,1,0.091
1000,50,4,2,0.091
1000,50,4,3,0.080
1000,50,4,4,0.067
1000,50,4,5,0.091
1000,50,4,6,0.078
1000,50,4,7,0.090
1000,50,4,8,0.072
1000,50,4,9,0.081
1000,50,4,10,0.066
1000,50,4,11,0.071
1000,50,4,12,0.087
1000,50,4,13,0.062
1000,50,4,14,0.074
1000,50,4,15,0.068
1000,50,4,16,0.070
1000,50,4,17,0.069
1000,50,4,18,0.070
1000,50,4,19,0.066
1000,50,4,20,0.063
1000,50,4,21,0.072
1000,50,4,22,0.073
1000,50,4,23,0.083
1000,50,4,24,0.084
1000,50,4,25,0.084
1000,50,4,26,0.081
1000,50,4,27,0.083
1000,50,4,28,0.100
1000,50,4,29,0.079
1000,50,4,30,0.072
1000,50,8,1,0.056
1000,50,8,2,0.055
