particle_count,timesteps,threads,sample,time
1000,50,1,1,0.235
1000,50,1,2,0.236
1000,50,1,3,0.237
1000,50,1,4,0.235
1000,50,1,5,0.235
1000,50,1,6,0.236
1000,50,1,7,0.236
1000,50,1,8,0.235
1000,50,1,9,0.235
1000,50,1,10,0.241
1000,50,1,11,0.236
1000,50,1,12,0.241
1000,50,1,13,0.237
1000,50,1,14,0.236
1000,50,1,15,0.235
1000,50,1,16,0.241
1000,50,1,17,0.236
1000,50,1,18,0.234
1000,50,1,19,0.236
1000,50,1,20,0.240
1000,50,1,21,0.235
1000,50,1,22,0.235
1000,50,1,23,0.238
1000,50,1,24,0.235
1000,50,1,25,0.235
1000,50,1,26,0.235
1000,50,1,27,0.235
1000,50,1,28,0.235
1000,50,1,29,0.235
1000,50,1,30,0.235
1000,50,2,1,0.122
1000,50,2,2,0.121
1000,50,2,3,0.188
1000,50,2,4,0.138
1000,50,2,5,0.136
1000,50,2,6,0.137
1000,50,2,7,0.120
1000,50,2,8,0.120
1000,50,2,9,0.120
1000,50,2,10,0.166
1000,50,2,11,0.193
1000,50,2,12,0.141
1000,50,2,13,0.152
1000,50,2,14,0.135
1000,50,2,15,0.123
1000,50,2,16,0.175
1000,50,2,17,0.122
1000,50,2,18,0.121
1000,50,2,19,0.129
1000,50,2,20,0.122
1000,50,2,21,0.121
1000,50,2,22,0.123
1000,50,2,23,0.137
1000,50,2,24,0.214
1000,50,2,25,0.121
1000,50,2,26,0.158
1000,50,2,27,0.129
1000,50,2,28,0.129
1000,50,2,29,0.129
1000,50,2,30,0.160
1000,50,4,1,0.089
1000,50,4,2,0.075
1000,50,4,3,0.077
1000,50,4,4,0.081
1000,50,4,5,0.072
1000,50,4,6,0.085
1000,50,4,7,0.080
1000,50,4,8,0.069
1000,50,4,9,0.073
1000,50,4,10,0.077
1000,50,4,11,0.070
1000,50,4,12,0.064
1000,50,4,13,0.089
1000,50,4,14,0.078
1000,50,4,15,0.063
1000,50,4,16,0.087
1000,50,4,17,0.075
1000,50,4,18,0.085
1000,50,4,19,0.083
1000,50,4,20,0.069
1000,50,4,21,0.091
1000,50,4,22,0.077
1000,50,4,23,0.086
1000,50,4,24,0.067
1000,50,4,25,0.082
1000,50,4,26,0.085
1000,50,4,27,0.096
1000,50,4,28,0.094
1000,50,4,29,0.093
1000,50,4,30,0.083
1000,50,8,1,0.053
1000,50,8,2,0.057
1000,50,8,3,0.056
1000,50,8,4,0.056
1000,50,8,5,0.055
1000,50,8,6,0.055
1000,50,8,7,0.055
1000,50,8,8,0.054
1000,50,8,9,0.055
1000,50,8,10,0.056
1000,50,8,11,0.055
1000,50,8,12,0.055
1000,50,8,13,0.055
1000,50,8,14,0.053
1000,50,8,15,0.055
1000,50,8,16,0.055
1000,50,8,17,0.056
1000,50,8,18,0.056
1000,50,8,19,0.053
1000,50,8,20,0.054
1000,50,8,21,0.055
1000,50,8,22,0.054
1000,50,8,23,0.053
1000,50,8,24,0.053
1000,50,8,25,0.053
1000,50,8,26,0.053
1000,50,8,27,0.054
1000,50,8,28,0.058
1000,50,8,29,0.056
1000,50,8,30,0.053
1000,50,12,1,0.071
1000,50,12,2,0.081
1000,50,12,3,0.073
1000,50,12,4,0.069
1000,50,12,5,0.065
1000,50,12,6,0.044
1000,50,12,7,0.047
1000,50,12,8,0.047
1000,50,12,9,0.065
1000,50,12,10,0.045
1000,50,12,11,0.055
1000,50,12,12,0.047
1000,50,12,13,0.046
1000,50,12,14,0.045
1000,50,12,15,0.047
1000,50,12,16,0.044
1000,50,12,17,0.046
1000,50,12,18,0.044
1000,50,12,19,0.048
1000,50,12,20,0.052
1000,50,12,21,0.058
1000,50,12,22,0.044
1000,50,12,23,0.047
1000,50,12,24,0.044
1000,50,12,25,0.052
1000,50,12,26,0.044
1000,50,12,27,0.051
1000,50,12,28,0.046
1000,50,12,29,0.046
1000,50,12,30,0.060
2000,50,1,1,0.944
2000,50,1,2,0.946
2000,50,1,3,0.942
2000,50,1,4,0.943
2000,50,1,5,0.939
2000,50,1,6,0.940
2000,50,1,7,0.943
2000,50,1,8,0.940
2000,50,1,9,0.939
2000,50,1,10,0.942
2000,50,1,11,0.948
2000,50,1,12,0.942
2000,50,1,13,0.939
2000,50,1,14,0.939
2000,50,1,15,0.941
2000,50,1,16,0.942
2000,50,1,17,0.937
2000,50,1,18,0.946
2000,50,1,19,0.942
2000,50,1,20,0.942
2000,50,1,21,0.938
2000,50,1,22,0.938
2000,50,1,23,0.940
2000,50,1,24,0.938
2000,50,1,25,0.942
2000,50,1,26,0.942
2000,50,1,27,0.938
2000,50,1,28,0.939
2000,50,1,29,0.940
2000,50,1,30,0.940
