particle_count,timesteps,sample,time
1000,50,1,0.235
1000,50,2,0.234
1000,50,3,0.236
1000,50,4,0.235
1000,50,5,0.235
1000,50,6,0.235
1000,50,7,0.235
1000,50,8,0.235
1000,50,9,0.235
1000,50,10,0.242
1000,50,11,0.239
1000,50,12,0.247
1000,50,13,0.238
1000,50,14,0.245
1000,50,15,0.235
1000,50,16,0.237
1000,50,17,0.245
1000,50,18,0.237
1000,50,19,0.237
1000,50,20,0.237
1000,50,21,0.238
1000,50,22,0.243
1000,50,23,0.246
1000,50,24,0.236
1000,50,25,0.240
1000,50,26,0.236
1000,50,27,0.237
1000,50,28,0.242
1000,50,29,0.235
1000,50,30,0.242
2000,50,1,0.942
2000,50,2,0.938
2000,50,3,0.944
2000,50,4,0.942
2000,50,5,0.940
2000,50,6,0.940
2000,50,7,0.940
2000,50,8,0.942
2000,50,9,0.955
2000,50,10,0.970
2000,50,11,0.961
2000,50,12,0.949
2000,50,13,0.940
2000,50,14,0.949
2000,50,15,0.938
2000,50,16,0.946
2000,50,17,0.940
2000,50,18,0.939
2000,50,19,0.940
2000,50,20,0.939
2000,50,21,0.942
2000,50,22,0.941
2000,50,23,0.938
2000,50,24,0.939
2000,50,25,0.952
2000,50,26,0.939
2000,50,27,0.943
2000,50,28,0.941
2000,50,29,0.948
2000,50,30,0.939
4000,50,1,3.809
4000,50,2,3.748
4000,50,3,3.747
4000,50,4,3.744
4000,50,5,3.747
4000,50,6,3.776
4000,50,7,3.774
4000,50,8,3.768
4000,50,9,3.743
4000,50,10,3.748
4000,50,11,3.758
4000,50,12,3.774
4000,50,13,3.782
4000,50,14,3.791
4000,50,15,3.765
4000,50,16,3.762
4000,50,17,3.733
4000,50,18,3.741
4000,50,19,3.746
4000,50,20,3.770
4000,50,21,3.757
4000,50,22,3.792
4000,50,23,3.770
4000,50,24,3.743
4000,50,25,3.754
4000,50,26,3.783
4000,50,27,3.735
4000,50,28,3.745
4000,50,29,3.779
4000,50,30,3.755
8000,50,1,14.989
8000,50,2,14.952
8000,50,3,14.964
8000,50,4,14.932
8000,50,5,14.936
8000,50,6,14.936
8000,50,7,14.946
8000,50,8,15.002
8000,50,9,14.963
8000,50,10,15.029
8000,50,11,14.949
8000,50,12,15.220
8000,50,13,15.012
8000,50,14,14.996
8000,50,15,15.013
8000,50,16,15.039
8000,50,17,15.168
8000,50,18,15.001
8000,50,19,15.026
8000,50,20,14.992
8000,50,21,14.990
8000,50,22,14.967
8000,50,23,14.980
8000,50,24,14.903
8000,50,25,15.031
8000,50,26,14.996
8000,50,27,15.001
8000,50,28,15.025
8000,50,29,14.977
8000,50,30,15.026
12000,50,1,33.754
12000,50,2,33.834
12000,50,3,33.756
12000,50,4,33.713
12000,50,5,33.780
12000,50,6,34.007
12000,50,7,33.816
12000,50,8,33.688
12000,50,9,33.665
12000,50,10,34.122
12000,50,11,33.695
12000,50,12,33.710
12000,50,13,33.843
12000,50,14,33.742
12000,50,15,33.842
12000,50,16,33.942
12000,50,17,34.052
12000,50,18,33.865
12000,50,19,34.159
12000,50,20,33.838
12000,50,21,34.098
12000,50,22,33.864
12000,50,23,33.953
12000,50,24,33.945
12000,50,25,33.680
12000,50,26,34.314
12000,50,27,33.892
12000,50,28,33.754
12000,50,29,34.180
12000,50,30,33.989
