particle_count,timesteps,sample,time
100,10,1,0.001
100,10,2,0.001
100,10,3,0.001
100,10,4,0.001
100,10,5,0.001
100,10,6,0.001
100,10,7,0.001
100,10,8,0.001
100,10,9,0.001
100,10,10,0.001
100,10,11,0.001
100,10,12,0.001
100,10,13,0.001
100,10,14,0.001
100,10,15,0.001
100,10,16,0.001
100,10,17,0.001
100,10,18,0.001
100,10,19,0.001
100,10,20,0.001
100,10,21,0.001
100,10,22,0.001
100,10,23,0.001
100,10,24,0.001
100,10,25,0.001
100,10,26,0.001
100,10,27,0.001
100,10,28,0.001
100,10,29,0.001
100,10,30,0.001
100,50,1,0.003
100,50,2,0.003
100,50,3,0.003
100,50,4,0.003
100,50,5,0.003
100,50,6,0.003
100,50,7,0.003
100,50,8,0.003
100,50,9,0.003
100,50,10,0.003
100,50,11,0.003
100,50,12,0.003
100,50,13,0.003
100,50,14,0.003
100,50,15,0.003
100,50,16,0.003
100,50,17,0.003
100,50,18,0.003
100,50,19,0.003
100,50,20,0.003
100,50,21,0.003
100,50,22,0.003
100,50,23,0.003
100,50,24,0.003
100,50,25,0.003
100,50,26,0.003
100,50,27,0.003
100,50,28,0.003
100,50,29,0.003
100,50,30,0.003
1000,10,1,0.049
1000,10,2,0.048
1000,10,3,0.048
1000,10,4,0.048
1000,10,5,0.048
1000,10,6,0.048
1000,10,7,0.048
1000,10,8,0.048
1000,10,9,0.048
1000,10,10,0.048
1000,10,11,0.049
1000,10,12,0.048
1000,10,13,0.049
1000,10,14,0.049
1000,10,15,0.048
1000,10,16,0.050
1000,10,17,0.050
1000,10,18,0.048
1000,10,19,0.048
1000,10,20,0.050
1000,10,21,0.048
1000,10,22,0.049
1000,10,23,0.050
1000,10,24,0.048
1000,10,25,0.048
1000,10,26,0.048
1000,10,27,0.049
1000,10,28,0.048
1000,10,29,0.049
1000,10,30,0.048
1000,50,1,0.241
1000,50,2,0.236
1000,50,3,0.237
1000,50,4,0.236
1000,50,5,0.235
1000,50,6,0.236
1000,50,7,0.235
1000,50,8,0.239
1000,50,9,0.236
1000,50,10,0.241
1000,50,11,0.236
1000,50,12,0.239
1000,50,13,0.235
1000,50,14,0.236
1000,50,15,0.236
1000,50,16,0.237
1000,50,17,0.235
1000,50,18,0.236
1000,50,19,0.236
1000,50,20,0.235
1000,50,21,0.238
1000,50,22,0.236
1000,50,23,0.239
1000,50,24,0.235
1000,50,25,0.237
1000,50,26,0.235
1000,50,27,0.237
1000,50,28,0.235
1000,50,29,0.235
1000,50,30,0.236
5000,10,1,1.175
5000,10,2,1.178
5000,10,3,1.177
5000,10,4,1.176
5000,10,5,1.175
5000,10,6,1.180
5000,10,7,1.172
5000,10,8,1.174
5000,10,9,1.177
5000,10,10,1.179
5000,10,11,1.178
5000,10,12,1.175
5000,10,13,1.179
5000,10,14,1.181
5000,10,15,1.183
5000,10,16,1.179
5000,10,17,1.185
5000,10,18,1.179
5000,10,19,1.177
5000,10,20,1.189
5000,10,21,1.181
5000,10,22,1.187
5000,10,23,1.186
5000,10,24,1.175
5000,10,25,1.173
5000,10,26,1.194
5000,10,27,1.187
5000,10,28,1.176
5000,10,29,1.172
5000,10,30,1.186
5000,50,1,5.853
5000,50,2,5.860
5000,50,3,5.880
5000,50,4,5.825
5000,50,5,5.861
5000,50,6,5.856
5000,50,7,5.866
5000,50,8,5.868
5000,50,9,5.921
5000,50,10,6.014
5000,50,11,5.853
5000,50,12,5.846
5000,50,13,5.849
5000,50,14,5.851
5000,50,15,5.857
5000,50,16,5.903
5000,50,17,5.861
5000,50,18,5.861
5000,50,19,5.862
5000,50,20,5.878
5000,50,21,5.880
5000,50,22,5.875
5000,50,23,5.861
5000,50,24,5.862
5000,50,25,5.847
5000,50,26,5.849
5000,50,27,5.869
5000,50,28,5.897
5000,50,29,5.865
5000,50,30,5.839
10000,10,1,4.728
10000,10,2,4.693
10000,10,3,4.694
10000,10,4,4.712
10000,10,5,4.691
10000,10,6,4.756
10000,10,7,4.701
10000,10,8,4.703
10000,10,9,4.695
10000,10,10,4.718
10000,10,11,4.674
10000,10,12,4.688
10000,10,13,4.708
10000,10,14,4.699
10000,10,15,4.683
10000,10,16,4.704
10000,10,17,4.687
10000,10,18,4.696
10000,10,19,4.689
10000,10,20,4.695
10000,10,21,4.691
10000,10,22,4.710
10000,10,23,4.690
10000,10,24,4.705
10000,10,25,4.695
10000,10,26,4.697
10000,10,27,4.697
10000,10,28,4.680
10000,10,29,4.719
10000,10,30,4.699
10000,50,1,23.433
10000,50,2,23.459
10000,50,3,23.443
10000,50,4,23.736
10000,50,5,23.443
10000,50,6,23.387
10000,50,7,23.544
10000,50,8,23.605
10000,50,9,23.569
10000,50,10,23.504
10000,50,11,23.500
10000,50,12,23.468
10000,50,13,23.528
10000,50,14,23.494
10000,50,15,23.542
10000,50,16,23.428
10000,50,17,23.476
10000,50,18,23.515
10000,50,19,23.479
10000,50,20,23.452
